Unidade Responsável;UASG;Id do item no PCA;Categoria do Item;Identificador da Futura Contratação;Nome da Futura Contratação;Catálogo Utilizado;Classificação do Catálogo;Código da Classificação Superior (Classe/Grupo);Nome da Classificação Superior (Classe/Grupo);Código do PDM do Item;Nome do PDM do Item;Código do Item;Descrição do Item;Unidade de Fornecimento;Quantidade Estimada;Valor Unitário Estimado (R$);Valor Total Estimado (R$);Valor orçamentário estimado para o exercício (R$);Data Desejada
INST.FED.DO MARANHAO/CAMPUS BACABAL;158297;1;Serviço;158297-24/2025;Contração de curso de capacitação;Catálogo do Compras.gov.br;Serviço;929;OUTROS SERVIÇOS DE EDUCAÇÃO E TREINAMENTO;;;;;-;0,0000;0,0000;3270,0000;0,0000;20/03/2025
INST.FED.DO MARANHAO/CAMPUS BACABAL;158297;3;Soluções de TIC;158297-32/2025;aquisição de PCs;Catálogo do Compras.gov.br;Material;7010;COMPUTADORES;;;;;-;0,0000;0,0000;50046,0000;0,0000;02/12/2025
INST.FED.DO MARANHAO/CAMPUS BACABAL;158297;4;Soluções de TIC;158297-32/2025;aquisição de PCs;Catálogo do Compras.gov.br;Material;7060;PEÇAS E ACESSÓRIOS PARA COMPUTADORES;;;;;-;0,0000;0,0000;11627,0000;0,0000;02/12/2025
INST.FED.DO MARANHAO/CAMPUS BACABAL;158297;2;Material;158297-31/2025;PNAE;Catálogo do Compras.gov.br;Material;8915;FRUTAS, VERDURAS E LEGUMES;;;;;-;0,0000;0,0000;32935,1100;0,0000;31/12/2025
INST.FED.DO MARANHAO/CAMPUS CAXIAS;158456;86;Serviço;158456-11/2025;Contratação de empresa para prestação de serviços de apoio e operacionalização de eventos.;Catálogo do Compras.gov.br;Serviço;962;SERVIÇOS DE PROMOÇÃO E APRESENTAÇÃO RELACIONADOS AS ARTES CÊNICAS E OUTROS ESPETÁCULOS AO VIVO;;;14591;PROMOÇÃO DE EVENTOS;-;12,0000;6000,0000;72000,0000;0,0000;10/03/2025
INST.FED.DO MARANHAO/CAMPUS CAXIAS;158456;32;Serviço;158456-1/2025;Aquisição de bilhetes e passagens áereas.;Catálogo do Compras.gov.br;Serviço;661;SERVIÇOS DE TRANSPORTE AÉREO DE PASSAGEIROS;;;;;-;0,0000;0,0000;250000,0000;0,0000;02/05/2025
INST.FED.DO MARANHAO/CAMPUS CAXIAS;158456;31;Serviço;158456-2/2025;Contratação de cursos de capacitação;Catálogo do Compras.gov.br;Serviço;929;OUTROS SERVIÇOS DE EDUCAÇÃO E TREINAMENTO;;;;;-;0,0000;0,0000;25000,0000;0,0000;01/04/2025
INST.FED.DO MARANHAO/CAMPUS CAXIAS;158456;4;Material;158456-4/2025;Aquisição de tratores, implementos e equipamentos diversos de uso agropecuário e outros.;Catálogo do Compras.gov.br;Material;2420;TRATORES SOBRE RODAS;;;;;-;0,0000;0,0000;300000,0000;0,0000;30/06/2025
INST.FED.DO MARANHAO/CAMPUS CAXIAS;158456;5;Material;158456-4/2025;Aquisição de tratores, implementos e equipamentos diversos de uso agropecuário e outros.;Catálogo do Compras.gov.br;Material;3710;EQUIPAMENTO PARA PREPARAÇÃO DO SOLO;;;;;-;0,0000;0,0000;50000,0000;0,0000;30/06/2025
INST.FED.DO MARANHAO/CAMPUS CAXIAS;158456;6;Material;158456-4/2025;Aquisição de tratores, implementos e equipamentos diversos de uso agropecuário e outros.;Catálogo do Compras.gov.br;Material;3805;EQUIPAMENTOS PARA MOVIMENTAÇÃO E ESCAVAÇÃO DE TERRA;;;;;-;0,0000;0,0000;40000,0000;0,0000;30/06/2025
INST.FED.DO MARANHAO/CAMPUS CAXIAS;158456;7;Material;158456-4/2025;Aquisição de tratores, implementos e equipamentos diversos de uso agropecuário e outros.;Catálogo do Compras.gov.br;Material;3720;EQUIPAMENTO DE COLHEITA;;;;;-;0,0000;0,0000;40000,0000;0,0000;30/06/2025
INST.FED.DO MARANHAO/CAMPUS CAXIAS;158456;8;Material;158456-4/2025;Aquisição de tratores, implementos e equipamentos diversos de uso agropecuário e outros.;Catálogo do Compras.gov.br;Material;3750;IMPLEMENTOS E FERRAMENTAS DE JARDINAGEM;;;;;-;0,0000;0,0000;20000,0000;0,0000;30/06/2025
INST.FED.DO MARANHAO/CAMPUS CAXIAS;158456;9;Material;158456-4/2025;Aquisição de tratores, implementos e equipamentos diversos de uso agropecuário e outros.;Catálogo do Compras.gov.br;Material;4940;EQUIPAMENTO ESPECIALIZADO DIVERSOS PARA OFICINA  DE  MANUTENÇÃO E REPARO;;;;;-;0,0000;0,0000;30000,0000;0,0000;30/06/2025
INST.FED.DO MARANHAO/CAMPUS CAXIAS;158456;10;Material;158456-4/2025;Aquisição de tratores, implementos e equipamentos diversos de uso agropecuário e outros.;Catálogo do Compras.gov.br;Material;3920;EQUIPAMENTOS NÃO AUTOPROPULSIONADO PARA MOVIMENTAÇÃO  DE  MATERIAIS;;;;;-;0,0000;0,0000;30000,0000;0,0000;30/06/2025
INST.FED.DO MARANHAO/CAMPUS CAXIAS;158456;11;Material;158456-4/2025;Aquisição de tratores, implementos e equipamentos diversos de uso agropecuário e outros.;Catálogo do Compras.gov.br;Material;2805;MOTORES A GASOLINA E COMPONENTES, EXCETO  OS DE AERONAVES;;;;;-;0,0000;0,0000;10000,0000;0,0000;30/06/2025
INST.FED.DO MARANHAO/CAMPUS CAXIAS;158456;12;Material;158456-4/2025;Aquisição de tratores, implementos e equipamentos diversos de uso agropecuário e outros.;Catálogo do Compras.gov.br;Material;3830;ACESSÓRIOS PARA CAMINHÕES E TRATORES;;;;;-;0,0000;0,0000;40000,0000;0,0000;30/06/2025
INST.FED.DO MARANHAO/CAMPUS CAXIAS;158456;13;Material;158456-3/2025;Aquisição de materiais de consumo diversos de uso agropecuário.;Catálogo do Compras.gov.br;Material;3770;SELARIA, ARREAMENTO, CHICOTE E ACESSÓRIOS CORRELATOS PARA   ANIMAIS;;;;;-;0,0000;0,0000;8000,0000;0,0000;30/04/2025
INST.FED.DO MARANHAO/CAMPUS CAXIAS;158456;14;Material;158456-3/2025;Aquisição de materiais de consumo diversos de uso agropecuário.;Catálogo do Compras.gov.br;Material;5335;TELAS METÁLICAS;;;;;-;0,0000;0,0000;20000,0000;0,0000;30/04/2025
INST.FED.DO MARANHAO/CAMPUS CAXIAS;158456;15;Material;158456-3/2025;Aquisição de materiais de consumo diversos de uso agropecuário.;Catálogo do Compras.gov.br;Material;6840;PESTICIDAS E DESINFETANTES;;;;;-;0,0000;0,0000;20000,0000;0,0000;30/04/2025
INST.FED.DO MARANHAO/CAMPUS CAXIAS;158456;16;Material;158456-3/2025;Aquisição de materiais de consumo diversos de uso agropecuário.;Catálogo do Compras.gov.br;Material;9525;ARAMES DE METAL NÃO FERROSO, NÃO UTILIZÁVEIS EM ELETRICIDADE;;;;;-;0,0000;0,0000;20000,0000;0,0000;30/04/2025
INST.FED.DO MARANHAO/CAMPUS CAXIAS;158456;17;Material;158456-3/2025;Aquisição de materiais de consumo diversos de uso agropecuário.;Catálogo do Compras.gov.br;Material;5180;JOGOS E CONJUNTOS DE FERRAMENTAS MANUAIS;;;;;-;0,0000;0,0000;20000,0000;0,0000;30/04/2025
INST.FED.DO MARANHAO/CAMPUS CAXIAS;158456;18;Material;158456-3/2025;Aquisição de materiais de consumo diversos de uso agropecuário.;Catálogo do Compras.gov.br;Material;4720;MANGUEIRAS E TUBULAÇÕES FLEXÍVEIS;;;;;-;0,0000;0,0000;100000,0000;0,0000;30/04/2025
INST.FED.DO MARANHAO/CAMPUS CAXIAS;158456;19;Material;158456-3/2025;Aquisição de materiais de consumo diversos de uso agropecuário.;Catálogo do Compras.gov.br;Material;8415;VESTUÁRIO PARA FINS ESPECIAIS;;;;;-;0,0000;0,0000;6000,0000;0,0000;30/04/2025
INST.FED.DO MARANHAO/CAMPUS CAXIAS;158456;20;Material;158456-3/2025;Aquisição de materiais de consumo diversos de uso agropecuário.;Catálogo do Compras.gov.br;Material;8720;FERTILIZANTES;;;;;-;0,0000;0,0000;20000,0000;0,0000;30/04/2025
INST.FED.DO MARANHAO/CAMPUS CAXIAS;158456;21;Material;158456-3/2025;Aquisição de materiais de consumo diversos de uso agropecuário.;Catálogo do Compras.gov.br;Material;6509;DROGAS E PRODUTOS BIOLÓGICOS DE USO VETERINÁRIO;;;;;-;0,0000;0,0000;10000,0000;0,0000;30/04/2025
INST.FED.DO MARANHAO/CAMPUS CAXIAS;158456;1;Material;158456-5/2025;Aquisição de materiais permanentes para manuntenção e atualização do parque tecnológico.;Catálogo do Compras.gov.br;Material;7080;PEÇAS, ACESSÓRIOS E FERRAMENTAS PARA REDES DE TIC;15895;PLACA SWITCH;;;-;0,0000;0,0000;5000,0000;0,0000;30/04/2025
INST.FED.DO MARANHAO/CAMPUS CAXIAS;158456;2;Material;158456-5/2025;Aquisição de materiais permanentes para manuntenção e atualização do parque tecnológico.;Catálogo do Compras.gov.br;Material;7050;EQUIPAMENTOS DE REDE DE TIC - LOCAL E REMOTA;15766;EQUIPAMENTO WIRELESS;;;-;0,0000;0,0000;20000,0000;0,0000;30/04/2025
INST.FED.DO MARANHAO/CAMPUS CAXIAS;158456;3;Material;158456-5/2025;Aquisição de materiais permanentes para manuntenção e atualização do parque tecnológico.;Catálogo do Compras.gov.br;Material;7010;COMPUTADORES;;;;;-;0,0000;0,0000;30000,0000;0,0000;30/04/2025
INST.FED.DO MARANHAO/CAMPUS CAXIAS;158456;22;Material;158456-3/2025;Aquisição de materiais de consumo diversos de uso agropecuário.;Catálogo do Compras.gov.br;Material;8810;ANIMAIS VIVOS, CRIADOS PARA ALIMENTAÇÃO;;;;;-;0,0000;0,0000;150000,0000;0,0000;30/04/2025
INST.FED.DO MARANHAO/CAMPUS CAXIAS;158456;23;Material;158456-3/2025;Aquisição de materiais de consumo diversos de uso agropecuário.;Catálogo do Compras.gov.br;Material;9999;ITENS DIVERSOS;12541;EQUIPAMENTO / ACESSÓRIOS - PISCICULTURA;;;-;0,0000;0,0000;15000,0000;0,0000;30/04/2025
INST.FED.DO MARANHAO/CAMPUS CAXIAS;158456;24;Material;158456-3/2025;Aquisição de materiais de consumo diversos de uso agropecuário.;Catálogo do Compras.gov.br;Material;8730;SEMENTES E MUDAS DE PLANTAS;;;;;-;0,0000;0,0000;10000,0000;0,0000;30/04/2025
INST.FED.DO MARANHAO/CAMPUS CAXIAS;158456;25;Material;158456-3/2025;Aquisição de materiais de consumo diversos de uso agropecuário.;Catálogo do Compras.gov.br;Material;6840;PESTICIDAS E DESINFETANTES;;;;;-;0,0000;0,0000;10000,0000;0,0000;30/04/2025
INST.FED.DO MARANHAO/CAMPUS CAXIAS;158456;26;Material;158456-3/2025;Aquisição de materiais de consumo diversos de uso agropecuário.;Catálogo do Compras.gov.br;Material;2610;PNEUS E CÂMARAS DE AR, EXCETO OS DE AERONAVES;;;;;-;0,0000;0,0000;20000,0000;0,0000;30/04/2025
INST.FED.DO MARANHAO/CAMPUS CAXIAS;158456;27;Material;158456-3/2025;Aquisição de materiais de consumo diversos de uso agropecuário.;Catálogo do Compras.gov.br;Material;3740;EQUIPAMENTO PARA CONTROLE DE PRAGAS, DOENÇAS E GEADAS;;;;;-;0,0000;0,0000;15000,0000;0,0000;30/04/2025
INST.FED.DO MARANHAO/CAMPUS CAXIAS;158456;28;Material;158456-3/2025;Aquisição de materiais de consumo diversos de uso agropecuário.;Catálogo do Compras.gov.br;Material;4730;ACESSÓRIOS E FERRAGENS ESPECIAIS PARA  MANGUEIRAS, CANOS  E TUBOS;;;;;-;0,0000;0,0000;15000,0000;0,0000;30/04/2025
INST.FED.DO MARANHAO/CAMPUS CAXIAS;158456;29;Material;158456-3/2025;Aquisição de materiais de consumo diversos de uso agropecuário.;Catálogo do Compras.gov.br;Material;8105;SACOS E BOLSAS;;;;;-;0,0000;0,0000;5000,0000;0,0000;30/04/2025
INST.FED.DO MARANHAO/CAMPUS CAXIAS;158456;30;Material;158456-3/2025;Aquisição de materiais de consumo diversos de uso agropecuário.;Catálogo do Compras.gov.br;Material;8710;FORRAGENS E ALIMENTOS;;;;;-;0,0000;0,0000;20000,0000;0,0000;30/04/2025
